measurement_id,object_id,source_key,ra_deg,dec_deg,redshift,redshift_kind,survey,field,source_table,object_class,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,selection_criteria,source_caveat_tags,published_aliases,log_mstar,log_lbol,mstar_method,lbol_method,agn_fraction,selection_value,log_mbh_context_low,log_mbh_context_high,log_mbh_context,log_mbh_upper_limit,beta_uv,beta_opt,conditional_mass_flag,conditional_mass_reason,lensing_status,lensing_mu,lensing_mass_correction_status,lensing_provenance
SMILESMIRI2360_lyu24,SMILES-MIRI-2360,lyu24_smiles_miri_agn,53.1458622,-27.822749,8.22,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,9.95,44.44297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2394_lyu24,SMILES-MIRI-2394,lyu24_smiles_miri_agn,53.1783755,-27.816309,5.13,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,8.72,43.032971929104804,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2452_lyu24,SMILES-MIRI-2452,lyu24_smiles_miri_agn,53.1315827,-27.809901,4.94,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,9.08,42.83297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2634_lyu24,SMILES-MIRI-2634,lyu24_smiles_miri_agn,53.1844382,-27.791313,4.11,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,9.62,42.94297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2743_lyu24,SMILES-MIRI-2743,lyu24_smiles_miri_agn,53.1420807,-27.779849,5.92,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,9.43,43.97297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2759_lyu24,SMILES-MIRI-2759,lyu24_smiles_miri_agn,53.1519645,-27.778252,5.94,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,8.95,44.162971929104806,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI2832_lyu24,SMILES-MIRI-2832,lyu24_smiles_miri_agn,53.1835182,-27.770134,8.38,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,8.53,43.57297192910481,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
SMILESMIRI3010_lyu24,SMILES-MIRI-3010,lyu24_smiles_miri_agn,53.169577,-27.738056,7.24,spec,SMILES JWST/MIRI,GOODS-S,Publisher machine-readable Table 2,photometric_agn_candidate,candidate,MIRI SED-selected high-redshift AGN candidate,unknown,photometric_sed,,JWST/MIRI SED identification in the z>4 high-redshift subsample,high_z_sed_selection_less_robust_and_incomplete;no_canonical_bh_mass,,8.52,44.412971929104806,Prospector SED fit,MIRI AGN SED component,,oxxxxxxx,,,,,,,,,,,,
GHZ9_napolitano25,GHZ9,napolitano25_ghz9,3.478756,-30.34552,10.145,spec,GLASS-JWST GO-3073 plus Chandra,Abell 2744,Abstract and Sections 2-3,xray_agn_candidate,probable,JWST high-ionization spectrum and most likely counterpart to Chandra X-ray emission,intermediate_or_ambiguous,xray;high_ionization_line;narrow_line_diagnostics,compact,JWST/NIRSpec confirmed z=10.145 source associated with Chandra emission and hard ionization diagnostics,agn_and_star_formation_both_contribute;bh_mass_assumes_eddington_accretion;not_canonical,,,,,,,,,,8.2041,,,,True,mass_depends_on_assumed_eddington_ratio,lensed,1.36,applied,Bergamini et al. 2023 model; source quantities corrected by paper
DJA8219_zhang25,DJA-8219,zhang25_narrow_line_lrds,215.078259,52.948497,6.785,spec,JWST DJA,EGS,Tables 1 and 2,narrow_line_agn_candidate,candidate,compact narrow-Halpha LRD selected as a possible obscured AGN,type2_narrow_line,narrow_line_diagnostics;photometric_sed,lrd;compact,JWST compact LRD with narrow Halpha and no significant broad component,bh_mass_is_an_upper_limit_from_line_width;agn_nature_candidate,,,,,,,,,,,5.9,-1.64,0.2,True,mass_valid_only_if_broad_component_is_blr,,,,
DJA12329_zhang25,DJA-12329,zhang25_narrow_line_lrds,214.797537,52.818746,6.62,spec,JWST DJA,EGS,Tables 1 and 2,narrow_line_agn_candidate,candidate,compact narrow-Halpha LRD selected as a possible obscured AGN,type2_narrow_line,narrow_line_diagnostics;photometric_sed,lrd;compact,JWST compact LRD with narrow Halpha and no significant broad component,bh_mass_is_an_upper_limit_from_line_width;agn_nature_candidate,,,,,,,,,,,6.0,-1.0,0.35,True,mass_valid_only_if_broad_component_is_blr,,,,
DJA16321_zhang25,DJA-16321,zhang25_narrow_line_lrds,34.324122,-5.252789,4.985,spec,JWST DJA,UDS,Tables 1 and 2,narrow_line_agn_candidate,candidate,compact narrow-Halpha LRD selected as a possible obscured AGN,type2_narrow_line,narrow_line_diagnostics;photometric_sed,lrd;compact,JWST compact LRD with narrow Halpha and no significant broad component,bh_mass_is_an_upper_limit_from_line_width;agn_nature_candidate,,,,,,,,,,,5.8,-1.49,1.51,True,mass_valid_only_if_broad_component_is_blr,,,,
DJA20547_zhang25,DJA-20547,zhang25_narrow_line_lrds,34.455376,-5.231814,5.278,spec,JWST DJA,UDS,Tables 1 and 2,narrow_line_agn_candidate,candidate,compact narrow-Halpha LRD selected as a possible obscured AGN,type2_narrow_line,narrow_line_diagnostics;photometric_sed,lrd;compact,JWST compact LRD with narrow Halpha and no significant broad component,bh_mass_is_an_upper_limit_from_line_width;agn_nature_candidate,,,,,,,,,,,5.6,-4.51,1.55,True,mass_valid_only_if_broad_component_is_blr,,,,
DJA22015_zhang25,DJA-22015,zhang25_narrow_line_lrds,34.374854,-5.275528,5.127,spec,JWST DJA,UDS,Tables 1 and 2,narrow_line_agn_candidate,candidate,compact narrow-Halpha LRD selected as a possible obscured AGN,type2_narrow_line,narrow_line_diagnostics;photometric_sed,lrd;compact,JWST compact LRD with narrow Halpha and no significant broad component,bh_mass_is_an_upper_limit_from_line_width;agn_nature_candidate,,,,,,,,,,,5.5,-0.84,0.48,True,mass_valid_only_if_broad_component_is_blr,,,,
GHZ2_chavezortiz26,GHZ2,chavezortiz26_ghz2,,,12.34,spec,GLASS-JWST NIRSpec and MIRI,Abell 2744,Abstract and Sections 2-5,high_ionization_line_candidate,probable,joint stellar plus AGN model significantly favored by high-ionization JWST lines,type2_narrow_line,high_ionization_line;narrow_line_diagnostics;photometric_sed,compact,"JWST spectro-photometric model requiring an AGN contribution to reproduce C IV, He II, and other lines",model_dependent_agn_fraction;bh_mass_assumes_eddington_ratio;approximately_one_dex_systematic,,,,,,,,,,7.19,,,,True,mass_depends_on_assumed_eddington_ratio,,,,
abell2744greene820469688_mascia26,abell2744-greene_8204_69688,mascia26_compact_blue_ble,3.5649,-30.3482,4.307,spec,JWST DJA,multi-field,Table 2,broad_line_agn,candidate,confirmed broad-line emitter with source paper explicitly agnostic about the central engine,type1_broad_line_candidate,broad_halpha,compact,JWST/NIRSpec PRISM broad-line emitter compact and blue in rest-frame UV and optical,broad_line_emitter_not_secure_agn;central_engine_interpretation_agn_or_stellar;no_canonical_bh_mass,,,,,,,,,,,,-2.12,0.39,,,,,,
nexusobs3510510835_mascia26,nexus-obs3_5105_10835,mascia26_compact_blue_ble,268.4377,65.1675,4.65,spec,JWST DJA,multi-field,Table 2,broad_line_agn,candidate,confirmed broad-line emitter with source paper explicitly agnostic about the central engine,type1_broad_line_candidate,broad_halpha,compact,JWST/NIRSpec PRISM broad-line emitter compact and blue in rest-frame UV and optical,broad_line_emitter_not_secure_agn;central_engine_interpretation_agn_or_stellar;no_canonical_bh_mass,,,,,,,,,,,,-1.63,-0.26,,,,,,
macs142312084103248_mascia26,macs1423_1208_4103248,mascia26_compact_blue_ble,215.9612,24.058,5.775,spec,JWST DJA,multi-field,Table 2,broad_line_agn,candidate,confirmed broad-line emitter with source paper explicitly agnostic about the central engine,type1_broad_line_candidate,broad_halpha,compact,JWST/NIRSpec PRISM broad-line emitter compact and blue in rest-frame UV and optical,broad_line_emitter_not_secure_agn;central_engine_interpretation_agn_or_stellar;no_canonical_bh_mass,,,,,,,,,,,,-1.55,0.32,,,,,,
jadesgdn198118138147_mascia26,jades-gdn198_1181_38147,mascia26_compact_blue_ble,189.2707,62.1484,5.87,spec,JWST DJA,multi-field,Table 2,broad_line_agn,candidate,confirmed broad-line emitter with source paper explicitly agnostic about the central engine,type1_broad_line_candidate,broad_halpha,compact,JWST/NIRSpec PRISM broad-line emitter compact and blue in rest-frame UV and optical,broad_line_emitter_not_secure_agn;central_engine_interpretation_agn_or_stellar;no_canonical_bh_mass,,,,,,,,,,,,-1.53,0.35,,,,,,
gtowideuds1212151259_mascia26,gto-wide-uds12_1215_1259,mascia26_compact_blue_ble,34.4223,-5.2507,5.962,spec,JWST DJA,multi-field,Table 2,broad_line_agn,candidate,confirmed broad-line emitter with source paper explicitly agnostic about the central engine,type1_broad_line_candidate,broad_halpha,compact,JWST/NIRSpec PRISM broad-line emitter compact and blue in rest-frame UV and optical,broad_line_emitter_not_secure_agn;central_engine_interpretation_agn_or_stellar;no_canonical_bh_mass,,,,,,,,,,,,-1.91,-0.84,,,,,,
rubiesuds324233966096_mascia26,rubies-uds32_4233_966096,mascia26_compact_blue_ble,34.4667,-5.1009,6.166,spec,JWST DJA,multi-field,Table 2,broad_line_agn,candidate,confirmed broad-line emitter with source paper explicitly agnostic about the central engine,type1_broad_line_candidate,broad_halpha,compact,JWST/NIRSpec PRISM broad-line emitter compact and blue in rest-frame UV and optical,broad_line_emitter_not_secure_agn;central_engine_interpretation_agn_or_stellar;no_canonical_bh_mass,,,,,,,,,,,,-2.04,0.05,,,,,,
caperscos07636835805_mascia26,capers-cos07_6368_35805,mascia26_compact_blue_ble,150.0554,2.2916,6.528,spec,JWST DJA,multi-field,Table 2,broad_line_agn,candidate,confirmed broad-line emitter with source paper explicitly agnostic about the central engine,type1_broad_line_candidate,broad_halpha,compact,JWST/NIRSpec PRISM broad-line emitter compact and blue in rest-frame UV and optical,broad_line_emitter_not_secure_agn;central_engine_interpretation_agn_or_stellar;no_canonical_bh_mass,,,,,,,,,,,,-2.06,0.28,,,,,,
uncover256111254_mascia26,uncover_2561_11254,mascia26_compact_blue_ble,3.5804,-30.405,6.877,spec,JWST DJA,multi-field,Table 2,broad_line_agn,candidate,confirmed broad-line emitter with source paper explicitly agnostic about the central engine,type1_broad_line_candidate,broad_halpha,compact,JWST/NIRSpec PRISM broad-line emitter compact and blue in rest-frame UV and optical,broad_line_emitter_not_secure_agn;central_engine_interpretation_agn_or_stellar;no_canonical_bh_mass,,,,,,,,,,,,-2.24,-0.62,,,,,,
